,I_ge
759,5.212602241943558
760,6.117740895978378
761,7.620361307999573
762,7.911230810401133
763,5.057762801810672
764,5.316489512541627
765,5.0054862930700255
766,4.968510117509685
767,5.79110253600336
768,6.300764397242775
769,6.494474731561958
770,5.050935911605522
771,6.6072268607083195
772,5.696882219357505
773,7.036179635543591
774,5.112452982221514
775,6.753267803025956
776,5.573463595244977
777,7.027531845657535
778,4.970489948229262
779,7.90139959175719
780,5.1019474115619445
781,8.333775965261669
782,7.983443574821585
783,8.234158324511565
784,8.303268041579608
785,8.277038492986415
786,5.146858598779926
787,8.42051131495576
788,7.58743446559056
789,5.176135649878907
790,6.5914622928382185
791,7.020391682301974
792,5.601584138798221
793,6.9615454447626
794,6.865901757605352
795,5.66352631301374
796,7.265123990645527
797,5.018124271269841
798,5.093050354578375
799,4.967610703015159
800,5.000094213278261
801,5.9608069612579
802,6.49649954437153
803,6.658046588712175
804,5.37394610576896
805,5.34029475446297
806,5.479221949202563
807,5.060673149880142
808,5.862701372753755
809,4.986689916485046
810,6.7767048331016655
811,6.258880417959213
812,5.019122362600298
813,7.469799067639288
814,7.017564555810209
815,7.882701470355563
816,6.088546272100048
817,5.080559255366755
818,5.682011071557258
819,5.264355171452909
820,6.883418271769955
821,6.8082219927696555
822,6.505852345843329
823,7.909818145296121
824,4.948144099935058
825,5.714966479912458
826,7.975229751563319
827,5.012844440808569
828,7.06469403838096
829,6.49431255096521
830,5.21096613819352
831,6.287413365664604
832,6.066370471899275
833,5.145547228656607
834,6.250147756611916
835,6.74889877181345
836,4.979901619972418
837,5.645523223091352
838,6.097751930315111
839,6.469897671073275
840,5.393062485014031
841,7.2361108694190595
842,5.26869632565861
843,6.7550269942719945
844,5.192582193699077
845,5.103791716484538
846,5.321769408625619
847,7.539091006947161
848,6.380545050887815
849,7.218650514717823
850,7.291855707463708
851,6.732194678696187
852,7.162004697917956
853,5.1407722365823
854,5.649172910294762
855,7.6092884060065735
856,6.574928813426731
857,6.338609341689876
858,6.191767835920612
859,6.154206411190226
860,6.989567989525103
861,7.634805251071384
862,5.660820780929535
863,5.432295417444455
864,6.218500081121967
865,5.7036320554356195
866,5.75636395583062
867,6.236420947682122
868,5.612396862757336
869,7.045110076718583
870,8.414330267257268
871,7.889157177388877
872,6.7630328248317255
873,6.771737690655993
874,5.496430720596049
875,5.143992033907514
876,5.1820391915836455
877,6.60911176612544
878,6.554770601694771
879,5.458733434902105
880,5.053891387925595
881,7.495407164213006
882,5.14460175816192
883,5.302651215915388
884,6.950603654281705
885,7.4104929688888515
886,8.251474536557783
887,7.60944958268574
888,7.324812120947802
889,5.573272448250382
890,7.074698087113097
891,5.129591562899665
892,6.164024283035563
893,4.983633129539925
894,5.203893539246445
895,5.063406387687483
896,4.9695249473885035
897,5.490313630716445
898,5.180835601361145
899,5.144994735873716
900,7.859137734062806
901,5.117860258682411
902,5.2135043125643366
903,7.928609272191703
904,6.769446127861142
905,7.429760805726664
906,4.967003036140372
907,5.35694093929759
908,5.078163087350812
909,5.152151922985172
910,7.486961548614781
911,5.896411232627569
912,6.854386723797889
913,6.505018663167954
914,7.850497246397634
915,5.374404962221449
916,7.015275707101874
917,7.4964647523458
918,6.308802850915655
919,5.150871874592188
920,5.1063401091996585
921,4.98745941116345
922,5.22882352167162
923,6.380061946882393
924,4.967145794967917
925,5.848771984568797
926,6.272775324737665
927,7.6722166900576365
928,7.825435856774863
929,5.267034245560599
930,4.934832324519125
931,5.556218963557547
932,6.112540714629085
933,4.974971726791938
934,6.310100310208672
935,5.926516878050598
936,5.4115021499261475
937,5.3000854700690265
938,5.109864810937484
939,6.5241733187577315
940,5.002683311612151
941,5.201591721227012
942,5.412064355351474
943,6.863121843620906
944,6.76388995423299
945,5.179871685841585
946,5.307824730028754
947,8.181865458481873
948,5.382296350887145
949,6.712876684417795
950,6.656827207858968
951,6.722055158945633
952,6.921272347610994
953,7.059988309435673
954,6.382384680713687
955,7.287402222985887
956,7.40151528386423
957,5.296852355195601
958,7.671755070869246
959,5.847356197127866
960,5.025397378509722
961,6.3905529777778565
962,8.073577162257598
963,5.518282736207073
964,5.53272091260556
965,6.892085770664918
966,5.2671979084688045
967,5.479484730843274
968,7.6475240118479295
969,7.990026638943065
970,5.1638429668998445
971,5.85400156905359
972,7.446756799361868
973,5.839935673261826
974,5.3432708669719435
975,5.198511204742399
976,6.053842155651025
977,6.308254631753258
978,7.6721573297333405
979,6.953080859823379
980,5.3183121804494995
981,4.9443143237352984
982,6.334782914820313
983,5.6210666876039594
984,5.155946873234786
985,5.109737478364422
986,6.0198399158734395
987,5.05264072666924
988,5.161386313437907
989,6.4429390587640905
990,5.096826779810674
991,5.1543360221024095
992,5.117724370636122
993,7.463074033768756
994,5.196319768663992
995,6.579837216221533
996,5.11966843998523
997,6.439645250472027
998,6.270364858602253
999,5.361964537367339
